"Rain.tomorrow","rpart"
FALSE,0.152380952380952
FALSE,0.152380952380952
TRUE,0.152380952380952
TRUE,0.740740740740741
FALSE,1
TRUE,0.587301587301587
TRUE,1
TRUE,0.151515151515152
FALSE,0.152380952380952
FALSE,0.152380952380952
FALSE,0.151515151515152
FALSE,0.152380952380952
TRUE,0.587301587301587
FALSE,0.152380952380952
TRUE,1
TRUE,0.152380952380952
FALSE,0.587301587301587
FALSE,0.587301587301587
TRUE,0.587301587301587
TRUE,0.587301587301587
FALSE,0.151515151515152
FALSE,0.152380952380952
TRUE,0.151515151515152
TRUE,0.587301587301587
FALSE,0.152380952380952
FALSE,0.152380952380952
TRUE,1
FALSE,0.152380952380952
FALSE,0.587301587301587
TRUE,0.587301587301587
TRUE,0.740740740740741
FALSE,0.152380952380952
TRUE,0.740740740740741
FALSE,0.707865168539326
FALSE,0.151515151515152
TRUE,0.152380952380952
TRUE,1
FALSE,0.151515151515152
TRUE,0.587301587301587
FALSE,1
FALSE,0.152380952380952
TRUE,0.740740740740741
TRUE,1
FALSE,0.151515151515152
TRUE,1
FALSE,0.152380952380952
TRUE,0.587301587301587
TRUE,0.587301587301587
FALSE,0.587301587301587
TRUE,0.152380952380952
TRUE,1
FALSE,0.152380952380952
FALSE,0.587301587301587
TRUE,0.152380952380952
TRUE,0.151515151515152
TRUE,0.151515151515152
FALSE,0.152380952380952
TRUE,0.587301587301587
TRUE,0.151515151515152
FALSE,0.152380952380952
TRUE,1
FALSE,0.152380952380952
FALSE,0.152380952380952
