Group.1,Minimum.temperature.C.,Maximum.temperature.C.,Rainfall.mm.,Direction.of.maximum.wind.gust,Speed.of.maximum.wind.gust.km.h.,Time.of.maximum.wind.gust,X9am.Temperature.C.,X9am.relative.humidity.,X9am.cloud.amount.oktas.,X9am.wind.direction,X9am.wind.speed.km.h.,X9am.MSL.pressure.hPa.,X3pm.Temperature.C.,X3pm.relative.humidity.,X3pm.cloud.amount.oktas.,X3pm.wind.direction,X3pm.wind.speed.km.h.,X3pm.MSL.pressure.hPa.,Season,Rain.tomorrow,Month,RainToday
1,14.44516129032258,31.612903225806452,1.2258064516129032,NA,NA,47702.3548387097,20.729032258064517,59.29032258064516,3.5161290322580645,NA,NA,1012.9709677419355,29.906451612903226,29.870967741935484,2.6451612903225805,NA,NA,1010.1096774193549,NA,NA,1,7
2,12.82857142857143,29.035714285714285,3.085714285714286,NA,NA,56492.1428571429,18.21785714285714,65.03571428571429,2.7142857142857144,NA,NA,1014.5214285714286,27.307142857142857,30.821428571428573,2.642857142857143,NA,NA,1011.5214285714286,NA,NA,2,4
3,10.52,26.256666666666668,0.24,NA,NA,50582.4,15.7,69.16666666666667,2.9,NA,NA,1018.7766666666666,24.55,39.3,2.1666666666666665,NA,NA,1016.0966666666667,NA,NA,3,4
4,8.683333333333334,25.006666666666668,0.6533333333333333,NA,NA,44047,15.406666666666666,67.46666666666667,1.8333333333333333,NA,NA,1020.4166666666666,23.79,35.06666666666667,1.5666666666666667,NA,NA,1016.95,NA,NA,4,8
5,2.232258064516129,17.48709677419355,0.4838709677419355,NA,NA,45603.8709677419,8.180645161290322,80,3.3870967741935485,NA,NA,1023.8129032258065,15.993548387096775,47.096774193548384,2,NA,NA,1021.1193548387097,NA,NA,5,6
6,1.83,13.156666666666666,0.9266666666666666,NA,NA,43488,6.383333333333333,85.3,4.166666666666667,NA,NA,1024.99,11.826666666666666,57.4,4.266666666666667,NA,NA,1022.77,NA,NA,6,14
7,-1.732258064516129,13.335483870967742,0.25161290322580643,NA,NA,38167.7419354839,4.096774193548387,80.48387096774194,2.161290322580645,NA,NA,1020.4096774193548,12.051612903225806,47.16129032258065,1.967741935483871,NA,NA,1017.8645161290323,NA,NA,7,9
8,0.659016393442623,13.908196721311475,1.0622950819672132,NA,NA,43911.1475409836,6.673770491803278,72.98360655737704,2.9672131147540983,NA,NA,1018.6049180327869,12.440983606557378,46.950819672131146,2.721311475409836,NA,NA,1015.8049180327869,NA,NA,8,15
9,2.8548387096774195,17.98709677419355,0.832258064516129,NA,NA,48530.3225806452,10.483870967741936,58.38709677419355,2,NA,NA,1016.2129032258065,16.35483870967742,38.16129032258065,2.5161290322580645,NA,NA,1013.5806451612904,NA,NA,9,7
10,7.080645161290323,23.170967741935485,1.8838709677419354,NA,NA,49306.4516129032,13.774193548387096,69.51612903225806,3.5806451612903225,NA,NA,1018.5064516129032,21.274193548387096,37.38709677419355,2.838709677419355,NA,NA,1015.6677419354838,NA,NA,10,12
11,9.573333333333334,24.330000000000002,2.3466666666666667,NA,NA,53512.5,16.006666666666668,63.766666666666666,3.3,NA,NA,1019.62,22.05,43,4.066666666666666,NA,NA,1016.7333333333333,NA,NA,11,14
12,13.870967741935484,27.822580645161292,3.0709677419354837,NA,NA,50599.8064516129,19.558064516129033,66.54838709677419,4.064516129032258,NA,NA,1012.5806451612904,25.993548387096773,41.903225806451616,3.967741935483871,NA,NA,1010.0258064516129,NA,NA,12,13
